orderid,orderdate,ordertime,customerid,customername,customercity,customerphone,customeremail,tablenumber,partysize,itemordered,category,itemprice_egp,quantity,discount_egp,paymentmethod,subtotal_egp,vat_egp,servicecharge_egp,deliveryfee_egp,totalbeforetip_egp,tip_egp,total_egp,ordertype,servername,loyaltypointsearned,feedbackrating,branchid,branchcity,branchmanager
ORD000041,2025-01-03,15:58:42,CUST3695,Aya Fathy,Cairo,1038574272,aya.fathy@example.com,15.0,3,Sahlab,Drink,35,1,0.0,Card,35,4.9,4.2,0,44.1,12.78,56.88,Dine-in,Mona,1,3,B005,Tanta,Mr. Omar
ORD000042,2025-09-10,19:09:58,CUST3282,Walid Mostafa,Mansoura,1047518437,walid.mostafa@example.com,2.0,5,Shawarma Sandwich,Food,50,2,0.0,Cash,100,14.0,12.0,0,126.0,0.0,126.0,Dine-in,Mona,2,4,B002,Giza,Mrs. Salma
ORD000043,2024-10-26,09:42:49,CUST8952,Nour Ibrahim,Fayoum,1027585470,nour.ibrahim@example.com,2.0,2,Basbousa (Dessert),Dessert,30,4,0.0,Mobile Wallet,120,16.8,14.4,0,151.2,0.0,151.2,Dine-in,Salma,3,5,B002,Giza,Mrs. Salma
ORD000044,2025-09-02,08:12:15,CUST7653,Amr Farid,Mansoura,1110664949,amr.farid@example.com,26.0,2,Shawarma Sandwich,Food,50,2,0.0,Card,100,14.0,12.0,0,126.0,13.07,139.07,Dine-in,Karim,2,5,B001,Cairo,Mr. Hassan
ORD000045,2025-01-13,04:31:15,CUST9710,Aya Hassan,Alexandria,1016050973,aya.hassan@example.com,27.0,1,Bottled Water,Drink,8,2,0.8,Card,16,2.24,1.92,0,19.36,0.0,19.36,Dine-in,Laila,0,5,B004,Mansoura,Mrs. Laila
ORD000046,2024-10-20,18:58:22,CUST2012,Ahmed Hassan,Cairo,1088083477,ahmed.hassan@example.com,42.0,2,Fattah,Food,90,2,0.0,Cash,180,25.2,21.6,0,226.8,0.0,226.8,Dine-in,Omar,4,4,B001,Cairo,Mr. Hassan
ORD000047,2025-04-05,12:59:32,CUST7036,Aya Farid,Tanta,1070330473,aya.farid@example.com,38.0,8,Shawarma Sandwich,Food,50,1,0.0,Cash,50,7.0,6.0,0,63.0,0.0,63.0,Dine-in,Salma,1,2,B002,Giza,Mrs. Salma
ORD000048,2024-10-20,01:10:52,CUST7308,Ibrahim Fathy,Suez,1048233775,ibrahim.fathy@example.com,22.0,2,Baklava (Dessert),Dessert,40,2,0.0,Card,80,11.2,9.6,0,100.8,0.0,100.8,Dine-in,Mona,2,5,B003,Alexandria,Mr. Karim
ORD000049,2025-07-08,20:11:06,CUST6779,Youssef Hafez,Fayoum,1224013687,youssef.hafez@example.com,0.0,1,Baklava (Dessert),Dessert,40,5,0.0,Card,200,28.0,24.0,0,252.0,0.0,252.0,Takeaway,Hassan,5,3,B002,Giza,Mrs. Salma
ORD000050,2025-05-31,17:47:37,CUST8715,Nadia Karim,Alexandria,1087242120,nadia.karim@example.com,11.0,3,Soft Drink (Can),Drink,18,2,0.0,Card,36,5.04,4.32,0,45.36,0.0,45.36,Dine-in,Hassan,0,2,B002,Giza,Mrs. Salma
ORD000051,2024-12-22,09:02:08,CUST2134,Mona Mostafa,Ismailia,1283429776,mona.mostafa@example.com,44.0,6,Koshari,Food,45,2,0.0,Card,90,12.6,10.8,0,113.4,13.61,127.01,Dine-in,Karim,2,2,B004,Mansoura,Mrs. Laila
ORD000052,2024-11-04,16:26:07,CUST9833,Aya Farid,Alexandria,1028530031,aya.farid@example.com,25.0,4,Fresh Juice (Orange),Drink,30,2,0.0,Card,60,8.4,7.2,0,75.6,22.43,98.03,Dine-in,Mona,1,3,B002,Giza,Mrs. Salma
ORD000053,2025-05-11,07:54:16,CUST6104,Youssef Hassan,Cairo,1042862031,youssef.hassan@example.com,30.0,4,Grilled Chicken Half,Food,75,1,0.0,Card,75,10.5,9.0,0,94.5,13.52,108.02,Dine-in,Mona,2,2,B002,Giza,Mrs. Salma
ORD000054,2024-12-27,17:09:48,CUST8165,Aya Farid,Suez,1161001316,aya.farid@example.com,40.0,2,Fresh Juice (Mango),Drink,40,3,0.0,Card,120,16.8,14.4,0,151.2,0.0,151.2,Dine-in,Salma,3,4,B004,Mansoura,Mrs. Laila
ORD000055,2025-01-28,21:20:19,CUST2172,Hassan Fouad,Mansoura,1228718144,hassan.fouad@example.com,3.0,1,Lentil Soup,Food,30,4,0.0,Cash,120,16.8,14.4,0,151.2,0.0,151.2,Dine-in,Amr,3,4,B003,Alexandria,Mr. Karim
ORD000056,2024-11-28,07:55:26,CUST8062,Ibrahim Zaki,Mansoura,1118538080,ibrahim.zaki@example.com,0.0,1,Falafel Sandwich,Food,25,2,0.0,Cash,50,7.0,6.0,0,63.0,0.0,63.0,Takeaway,Salma,1,4,B003,Alexandria,Mr. Karim
ORD000057,2025-06-06,02:29:30,CUST7426,Hassan Fouad,Minya,1272983234,hassan.fouad@example.com,0.0,2,Baklava (Dessert),Dessert,40,2,0.0,Card,80,11.2,9.6,20,120.8,0.0,120.8,Delivery,Omar,2,3,B001,Cairo,Mr. Hassan
ORD000058,2024-09-26,07:05:43,CUST6027,Nadia Hafez,Alexandria,1110780283,nadia.hafez@example.com,27.0,3,Bottled Water,Drink,8,3,0.0,Cash,24,3.36,2.88,0,30.24,0.0,30.24,Dine-in,Karim,0,1,B004,Mansoura,Mrs. Laila
ORD000059,2025-07-12,07:52:20,CUST3070,Ibrahim Fouad,Minya,1276060625,ibrahim.fouad@example.com,12.0,3,Grilled Chicken Half,Food,75,1,0.0,Card,75,10.5,9.0,0,94.5,0.0,94.5,Dine-in,Salma,1,3,B003,Alexandria,Mr. Karim
ORD000060,2025-08-20,09:07:56,CUST3268,Sara Ibrahim,Fayoum,1050421249,sara.ibrahim@example.com,0.0,5,Arabic Coffee,Drink,25,2,0.0,Cash,50,7.0,6.0,15,78.0,22.27,100.27,Delivery,Hassan,2,3,B003,Alexandria,Mr. Karim
ORD000061,2025-03-28,05:45:09,CUST8596,Omar Ali,Giza,1249098525,omar.ali@example.com,0.0,3,Baklava (Dessert),Dessert,40,2,12.0,Card,80,11.2,9.6,20,108.8,0.0,108.8,Delivery,Karim,2,2,B002,Giza,Mrs. Salma
ORD000062,2025-03-09,13:59:39,CUST3556,Mohamed Fouad,Fayoum,1246202036,mohamed.fouad@example.com,21.0,1,Umm Ali (Dessert),Dessert,35,1,0.0,Card,35,4.9,4.2,0,44.1,0.0,44.1,Dine-in,Amr,0,2,B002,Giza,Mrs. Salma
ORD000063,2025-08-13,11:30:01,CUST9523,Nadia Sayed,Cairo,1019041390,nadia.sayed@example.com,9.0,5,Shawarma Sandwich,Food,50,4,30.0,Card,200,28.0,24.0,0,222.0,0.0,222.0,Dine-in,Karim,4,4,B003,Alexandria,Mr. Karim
ORD000064,2025-07-15,04:05:31,CUST9898,Youssef Sayed,Mansoura,1170580360,youssef.sayed@example.com,44.0,3,Koshari,Food,45,3,0.0,Card,135,18.9,16.2,0,170.1,0.0,170.1,Dine-in,Amr,3,4,B001,Cairo,Mr. Hassan
ORD000065,2025-06-15,16:26:19,CUST4388,Amr Hassan,Zagazig,1243983200,amr.hassan@example.com,0.0,5,Basbousa (Dessert),Dessert,30,3,0.0,Card,90,12.6,10.8,20,133.4,0.0,133.4,Delivery,Omar,2,5,B001,Cairo,Mr. Hassan
ORD000066,2024-11-01,01:00:41,CUST4076,Omar Mahmoud,Fayoum,1122560324,omar.mahmoud@example.com,0.0,3,Mahshi (Stuffed Vegetables),Food,70,1,0.0,Card,70,9.8,8.4,0,88.2,0.0,88.2,Takeaway,Mona,1,1,B003,Alexandria,Mr. Karim
ORD000067,2025-01-09,04:32:50,CUST7414,Mona Fathy,Zagazig,1296205603,mona.fathy@example.com,4.0,3,Molokhia with Rice,Food,60,2,0.0,Card,120,16.8,14.4,0,151.2,0.0,151.2,Dine-in,Hassan,3,3,B003,Alexandria,Mr. Karim
ORD000068,2025-05-23,16:08:48,CUST2116,Mohamed Mahmoud,Cairo,1142479386,mohamed.mahmoud@example.com,5.0,2,Umm Ali (Dessert),Dessert,35,2,0.0,Cash,70,9.8,8.4,0,88.2,0.0,88.2,Dine-in,Salma,1,5,B001,Cairo,Mr. Hassan
ORD000069,2025-01-02,10:59:29,CUST9438,Youssef Fathy,Tanta,1152911928,youssef.fathy@example.com,23.0,3,Mahshi (Stuffed Vegetables),Food,70,3,10.5,Cash,210,29.4,25.2,0,254.1,0.0,254.1,Dine-in,Amr,5,3,B004,Mansoura,Mrs. Laila
ORD000070,2024-10-30,14:12:03,CUST8979,Ibrahim Gaber,Tanta,1022242063,ibrahim.gaber@example.com,0.0,3,Shawarma Sandwich,Food,50,1,0.0,Card,50,7.0,6.0,0,63.0,0.0,63.0,Takeaway,Salma,1,4,B001,Cairo,Mr. Hassan
ORD000071,2025-03-06,04:11:48,CUST2530,Mona Ali,Suez,1166947676,mona.ali@example.com,0.0,3,Basbousa (Dessert),Dessert,30,1,4.5,Card,30,4.2,3.6,0,33.3,0.0,33.3,Takeaway,Salma,0,2,B002,Giza,Mrs. Salma
ORD000072,2025-02-25,14:07:58,CUST2075,Dina Zaki,Cairo,1253063432,dina.zaki@example.com,0.0,1,Karkade (Hibiscus Tea),Drink,25,3,0.0,Cash,75,10.5,9.0,0,94.5,0.0,94.5,Takeaway,Dina,1,4,B003,Alexandria,Mr. Karim
ORD000073,2025-03-07,15:37:01,CUST3456,Salma Ali,Mansoura,1142133795,salma.ali@example.com,16.0,3,Bottled Water,Drink,8,2,0.0,Card,16,2.24,1.92,0,20.16,0.0,20.16,Dine-in,Karim,0,1,B004,Mansoura,Mrs. Laila
ORD000074,2025-09-04,12:09:41,CUST8896,Hassan Gaber,Cairo,1054325522,hassan.gaber@example.com,35.0,4,Basbousa (Dessert),Dessert,30,3,0.0,Card,90,12.6,10.8,0,113.4,35.62,149.02,Dine-in,Salma,2,1,B002,Giza,Mrs. Salma
ORD000075,2025-07-21,04:10:25,CUST9444,Hassan Sayed,Alexandria,1133994037,hassan.sayed@example.com,31.0,4,Basbousa (Dessert),Dessert,30,2,0.0,Card,60,8.4,7.2,0,75.6,0.0,75.6,Dine-in,Dina,1,1,B002,Giza,Mrs. Salma
ORD000076,2025-01-20,03:01:59,CUST3060,Walid Ali,Tanta,1124293562,walid.ali@example.com,16.0,1,Karkade (Hibiscus Tea),Drink,25,1,0.0,Cash,25,3.5,3.0,0,31.5,0.0,31.5,Dine-in,Laila,0,2,B001,Cairo,Mr. Hassan
ORD000077,2025-05-24,00:04:50,CUST8482,Laila Gaber,Alexandria,1173768965,laila.gaber@example.com,31.0,2,Iced Tea,Drink,22,1,0.0,Cash,22,3.08,2.64,0,27.72,0.0,27.72,Dine-in,Karim,0,3,B002,Giza,Mrs. Salma
ORD000078,2025-06-14,02:59:24,CUST8876,Walid Fouad,Minya,1010147197,walid.fouad@example.com,0.0,3,Koshari,Food,45,1,0.0,Cash,45,6.3,5.4,15,71.7,0.0,71.7,Delivery,Omar,1,2,B002,Giza,Mrs. Salma
ORD000079,2025-01-10,12:30:54,CUST5755,Dina Sayed,Cairo,1198402082,dina.sayed@example.com,0.0,4,Soft Drink (Can),Drink,18,2,0.0,Mobile Wallet,36,5.04,4.32,30,75.36,0.0,75.36,Delivery,Amr,1,1,B005,Tanta,Mr. Omar
ORD000080,2025-05-02,02:54:47,CUST8778,Mona Mostafa,Zagazig,1291861257,mona.mostafa@example.com,28.0,2,Umm Ali (Dessert),Dessert,35,2,0.0,Card,70,9.8,8.4,0,88.2,0.0,88.2,Dine-in,Amr,1,5,B002,Giza,Mrs. Salma
ORD000081,2024-12-02,12:25:18,CUST5711,Khaled Hassan,Cairo,1259210325,khaled.hassan@example.com,10.0,1,Hawawshi,Food,55,1,0.0,Mobile Wallet,55,7.7,6.6,0,69.3,0.0,69.3,Dine-in,Salma,1,4,B005,Tanta,Mr. Omar
ORD000082,2024-12-04,15:51:58,CUST3986,Omar Zaki,Giza,1220192332,omar.zaki@example.com,49.0,2,Sahlab,Drink,35,3,0.0,Card,105,14.7,12.6,0,132.3,28.51,160.81,Dine-in,Amr,3,1,B001,Cairo,Mr. Hassan
ORD000083,2025-01-25,19:29:07,CUST9074,Tamer Karim,Giza,1114985096,tamer.karim@example.com,48.0,4,Molokhia with Rice,Food,60,3,9.0,Card,180,25.2,21.6,0,217.8,17.2,235.0,Dine-in,Salma,4,3,B004,Mansoura,Mrs. Laila
ORD000084,2025-09-06,04:21:59,CUST6509,Rania Fathy,Suez,1039616088,rania.fathy@example.com,21.0,2,Fresh Juice (Orange),Drink,30,2,0.0,Cash,60,8.4,7.2,0,75.6,0.0,75.6,Dine-in,Mona,1,3,B005,Tanta,Mr. Omar
ORD000085,2025-02-21,08:30:16,CUST8733,Tamer Karim,Tanta,1142543232,tamer.karim@example.com,0.0,4,Basbousa (Dessert),Dessert,30,1,0.0,Cash,30,4.2,3.6,0,37.8,0.0,37.8,Takeaway,Karim,0,1,B002,Giza,Mrs. Salma
ORD000086,2024-10-23,10:58:27,CUST9107,Omar Zaki,Minya,1158971640,omar.zaki@example.com,10.0,4,Shawarma Sandwich,Food,50,2,0.0,Card,100,14.0,12.0,0,126.0,0.0,126.0,Dine-in,Karim,2,4,B002,Giza,Mrs. Salma
ORD000087,2025-01-08,12:55:58,CUST1042,Mohamed Yassin,Cairo,1298292310,mohamed.yassin@example.com,10.0,1,Umm Ali (Dessert),Dessert,35,3,0.0,Cash,105,14.7,12.6,0,132.3,0.0,132.3,Dine-in,Hassan,2,3,B001,Cairo,Mr. Hassan
ORD000088,2025-05-04,17:01:36,CUST1394,Salma Yassin,Zagazig,1137980569,salma.yassin@example.com,0.0,1,Fattah,Food,90,2,0.0,Card,180,25.2,21.6,0,226.8,0.0,226.8,Takeaway,Salma,4,2,B003,Alexandria,Mr. Karim
ORD000089,2025-09-01,20:35:03,CUST7894,Youssef Mostafa,Fayoum,1236947218,youssef.mostafa@example.com,0.0,1,Molokhia with Rice,Food,60,2,18.0,Cash,120,16.8,14.4,0,133.2,0.0,133.2,Takeaway,Mona,2,5,B004,Mansoura,Mrs. Laila
ORD000090,2025-04-08,05:28:35,CUST2867,Ahmed Yassin,Tanta,1216020320,ahmed.yassin@example.com,0.0,3,Grilled Chicken Half,Food,75,4,0.0,Mobile Wallet,300,42.0,36.0,30,408.0,0.0,408.0,Delivery,Karim,8,5,B001,Cairo,Mr. Hassan
ORD000091,2025-05-17,07:06:10,CUST4770,Mohamed Fouad,Tanta,1239611798,mohamed.fouad@example.com,41.0,2,Basbousa (Dessert),Dessert,30,2,6.0,Cash,60,8.4,7.2,0,69.6,32.61,102.21,Dine-in,Mona,2,2,B002,Giza,Mrs. Salma
ORD000092,2025-06-06,18:41:24,CUST8030,Walid Karim,Zagazig,1250681370,walid.karim@example.com,50.0,2,Soft Drink (Can),Drink,18,1,0.0,Card,18,2.52,2.16,0,22.68,0.0,22.68,Dine-in,Salma,0,1,B001,Cairo,Mr. Hassan
ORD000093,2024-10-01,23:41:45,CUST6715,Salma Sayed,Mansoura,1092258413,salma.sayed@example.com,28.0,2,Mahshi (Stuffed Vegetables),Food,70,1,0.0,Card,70,9.8,8.4,0,88.2,24.52,112.72,Dine-in,Mona,2,3,B002,Giza,Mrs. Salma
ORD000094,2025-06-04,00:23:26,CUST7917,Rania Sayed,Ismailia,1157778592,rania.sayed@example.com,42.0,1,Iced Tea,Drink,22,1,2.2,Card,22,3.08,2.64,0,25.52,0.0,25.52,Dine-in,Laila,0,4,B002,Giza,Mrs. Salma
ORD000095,2025-05-31,11:54:31,CUST9696,Salma Yassin,Mansoura,1141700552,salma.yassin@example.com,28.0,3,Arabic Coffee,Drink,25,3,0.0,Cash,75,10.5,9.0,0,94.5,0.0,94.5,Dine-in,Karim,1,4,B004,Mansoura,Mrs. Laila
ORD000096,2024-11-23,15:13:21,CUST3603,Fatma Mostafa,Minya,1169572971,fatma.mostafa@example.com,33.0,4,Fresh Juice (Orange),Drink,30,1,4.5,Cash,30,4.2,3.6,0,33.3,18.83,52.13,Dine-in,Dina,1,2,B002,Giza,Mrs. Salma
